cell	method	tag	stage	metric	value	delta_vs_unsteered
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k128	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	1.0518	+0.4293
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k96	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.9907	+0.3682
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0.003_ep16_all	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.7302	+0.1077
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0_ep16_all	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.7636	+0.1411
qw_qa	unsteered	cap_ctaw_qw_qa_uns	loglik-ct-arcwiki	WIKITEXT/BITS_PER_BYTE	0.6225	
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_a8	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.5909	+0.0514
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k128	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	2.0731	+0.5336
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k96	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.9872	+0.4477
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0.003_ep16_all	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.6589	+0.1194
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0_ep16_all	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.6977	+0.1582
qw_qa	unsteered	cap_ctaw_qw_qa_uns	loglik-ct-arcwiki	WIKITEXT/BYTE_PERPLEXITY	1.5395	
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_a8	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	11.9731	+1.9259
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k128	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	49.3293	+39.2821
qw_qa	iti	cap_ctaw_qw_qa_iti_qw_qa_k96	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	39.3358	+29.2886
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0.003_ep16_all	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	14.9781	+4.9309
qw_qa	sparse	cap_ctaw_qw_qa_sp_qw_qa_l0_ep16_all	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	16.9493	+6.9021
qw_qa	unsteered	cap_ctaw_qw_qa_uns	loglik-ct-arcwiki	WIKITEXT/WORD_PERPLEXITY	10.0472	
qw_qa	iti	cap_ctmm_qw_qa_iti_qw_qa_a8	loglik-ct-mmlu	MMLU/ACC	0.6947	-0.0053
qw_qa	iti	cap_ctmm_qw_qa_iti_qw_qa_k128	loglik-ct-mmlu	MMLU/ACC	0.7182	+0.0182
qw_qa	iti	cap_ctmm_qw_qa_iti_qw_qa_k96	loglik-ct-mmlu	MMLU/ACC	0.7189	+0.0189
qw_qa	sparse	cap_ctmm_qw_qa_sp_qw_qa_l0.003_ep16_all	loglik-ct-mmlu	MMLU/ACC	0.6256	-0.0744
qw_qa	sparse	cap_ctmm_qw_qa_sp_qw_qa_l0_ep16_all	loglik-ct-mmlu	MMLU/ACC	0.6414	-0.0586
qw_qa	unsteered	cap_ctmm_qw_qa_uns	loglik-ct-mmlu	MMLU/ACC	0.7000	
qw_qa	iti	cap_fxaw_qw_qa_iti_qw_qa_a8	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.5239	-0.0026
qw_qa	iti	cap_fxaw_qw_qa_iti_qw_qa_k128	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.4667	-0.0598
qw_qa	iti	cap_fxaw_qw_qa_iti_qw_qa_k96	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.4701	-0.0564
qw_qa	sparse	cap_fxaw_qw_qa_sp_qw_qa_l0.003_ep16_all	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.5188	-0.0077
qw_qa	sparse	cap_fxaw_qw_qa_sp_qw_qa_l0_ep16_all	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.4829	-0.0436
qw_qa	unsteered	cap_fxaw_qw_qa_uns	loglik-fx-arcwiki	ARC_CHALLENGE/ACC	0.5265	
qw_qa	iti	cap_fxaw_qw_qa_iti_qw_qa_a8	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5469	-0.0034
qw_qa	iti	cap_fxaw_qw_qa_iti_qw_qa_k128	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.4966	-0.0537
qw_qa	iti	cap_fxaw_qw_qa_iti_qw_qa_k96	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5017	-0.0486
qw_qa	sparse	cap_fxaw_qw_qa_sp_qw_qa_l0.003_ep16_all	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5375	-0.0128
qw_qa	sparse	cap_fxaw_qw_qa_sp_qw_qa_l0_ep16_all	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5085	-0.0418
qw_qa	unsteered	cap_fxaw_qw_qa_uns	loglik-fx-arcwiki	ARC_CHALLENGE/ACC_NORM	0.5503	
